p.name
KIMBERLY SORRENTINO
KIMIO NAKAMURA
KIRILL DMITRIEV
KIRK WICKSTROM
KONSTANTIN V. KILIMNIK
L. BRENT BOZELL
LAETITIA KOCH
LAETITIA RITTMEISTER
LARA LEE YUNASKA
LARRY GLICK
LAURENT MORALI
LAWRENCE J. MONE
LAWRENCE ROLNICK
LEE EICKMEYER
LEIB WALDMAN
LEONARD LEO
LEV LEVIEV
LI KA-SHING
LINDA BEAN
LINDA MCMAHON
LINDA TALARICO
LIZEBETH KYPRISLIDIS
LLOYD MILLER
LYNNE M PATTON
MADHUKAR TULSI
MARC E. KASOWITZ
MARC SHORT
MARC SOLOMON
MARCO RUBIO
MARI ARREDONDO
MARK BENNETT TROY
MARK BURNETT
MARK HERBERT
MARK HOLLOWAY
MARK PASQUERELLA
MARK SCHECK
MARK STEVEN KIRK
MARTIN JAJAN
MARTIN SCHLOSSBERG
MARTIN SCHWARTZ
MARTIN SORRELL
MARTY OBST
MARY T. BARRA
MATTHEW CALAMAN
MATTHEW CALAMARI
"MATTHEW CALAMARI, JR."
MEHMET ALI YALCINDAG
MELANIA TRUMP
MICA MOSBACHER
MICHAEL BURNS NEILSON
MICHAEL D. COHEN
MICHAEL FASCITELLI
MICHAEL FLYNN
MICHAEL J. BOCCIO
MICHAEL KENDALL
MICHAEL KOVNER
MICHAEL MUELLER
MICHAEL MURRAY
MICHAEL P. MELLON
MICHAEL PETER WALE
MICHAEL POMPEO
MICHAEL SEXTON
MICHELLE CARLSON
MICHIHIRO CHIKUBU
MICK MULVANEY
MIKE BASELICE
MIKE FERGUSON
MIKE PENCE
MIKHAIL MORGULIS
MIKIYASU KAYANUMA
MINA PATEL
MITCHELL QUAIN
MITT ROMNEY
MOISÉS YELLATI
MUKEMMEL SARIMSAKCI
MYRNA HAFT
NICK AYERS
NICOLE KUSHNER MEYER
NIGEL OAKES
NIKKI HALEY
NIR EREL MARGALIT
NOEL FRANCISCO
OLEG DERIPASKA
OMAROSÉ ONEE MANIGAULT
PAM MULVANEY
PATRICIA LEVESQUE
PATRICK CADDELL
PAUL GERVAIS
PAUL MANAFORT
PAUL TELLER
PAULA LEED
PAULO FIGUEIREDO FILHO
PAVEL FUKS
PETER DAVIS
PETER G. KELLY
PETER SCHWEIZER
PETER THIEL
PHILIP NICOZISIS
PHILLIP NEUMAN
RANDI LANE
RAUL BERNL-MORA
REBEKAH MERCER
REED S. CORDISH
REGINALD J. BROWN
REINCE PRIEBUS
REX TILLERSON
RHONA GRAFF RICCIO
RICARDO HAZOURY
RICHARD ARON
RICHARD BRUDNER
RICHARD DEVOS
RICHARD HOROWITZ
RICHARD LEFRAK
"RICHARD MARVIN ""DICK"" DEVOS JR."
RICHARD SALTZMAN
RICHARD SCHMIDT
RICK DAVIS
RICK DEARBORN
RICK GATES
RICK PERRY
RINAT AKHMETOV
ROBERT A. IGER
ROBERT BERG
ROBERT COTTER
ROBERT F. GRIFFIN
ROBERT FALK
"ROBERT KUNOLD, JR."
ROBERT LEE SCOTT
ROBERT LIGHTHIZER
ROBERT MERCER
ROBERT SHIPMAN
ROBERT SOMMER
ROBERT ZELMAN
ROBERTA BRUDNER
"ROGER J. STONE, JR."
ROGER MICHAEL GABB
RONALD C. LIEBERMAN
RONALD ROBINSON
RUDY GIULIANI
RUPERT MURDOCH
RUSS VOUGHT
RUSSELL FLICKER
RYAN DOHERTY
RYAN ZINKE
SAGAR CHORDIA
SARA MARTENS
SCOTT MILLER
SCOTT PRUITT
SEAN SPICER
SEBASTIAN GORKA
SERGEI MILLIAN
SERYL KUSHNER
SHANNON MCGAHN
SHARON QUAIN
SHAUN CAIN
SHAWN MCCABE
SHERI A. DILLON
SIMON ISAACS
SONJA TALESNIK
SOPHIA BARATASHVILI
STEFAAN HAEGEMAN
STEPHEN A. FEINBERG
STEPHEN A. SCHWARZMAN
STEPHEN B. MEISTER
STEPHEN BANNON
STEPHEN MILLER
STEPHEN VADEN
STEVE TATHAM
STEVEN LEVINE
STEVEN MNUCHIN
STEVEN ROTH
STEVES RODRIGUEZ
STEWART SELBIE
SUSAN FALK
SUSAN KAPLAN
SUSAN MILLER
SUSAN POMPEO
SYAFRIL NASUTION
TAKASHI NIINO
TAMIR SAPIR
TATSUYA MATSUURA
TEVFIK ARIF
THEODORE BERMAN
THEODORE WILLIAM DARNELL
THOMAS EDWIN JUNIOR DUPAR
THOMAS FUCHS
THOMAS HUTCHINSON
THOMAS J BASILE
THOMAS J. BARRACK JR.
THOMAS JOSEPH ROONEY
THOMAS M. SPARICO
THOMAS PETERFFY
THOMAS PYLE
THOMAS ULRICH BRECHBUHL
TIAH JOO KIM
TIFFANY ISAACS
TIM MOL
TODD CHRISTOPHER YOUNG
TOM BOSSERT
TOM PRICE
TONY CHARLES SOLE
TONY TIAH THEE KIAN
TOSHIO KABAYASHI
TRAVIS KALANICK
TREVOR DRINKWATER
TRICIA HOLLOWAY
URS LEDERMANN
VICTOR HEGGELMAN
VIKTOR F. YANUKOVYCH
VIKTOR KHRAPUNOV
VLADIMIR POTANIN
W.E.“ED” BOSARGE
