n.name
DT BALI HOTEL MANAGER MEMBER CORP.
DT LIDO HOTEL MANAGER MEMBER CORP.
OPO HOTEL MANAGER LLC
OPO HOTEL MANAGER MEMBER CORP.
THC BAKU HOTEL MANAGER SERVICES MEMBER CORP.
THC DUBAI II HOTEL MANAGER MEMBER CORP.
THC JEDDAH HOTEL ADVISOR MEMBER CORP.
THC JEDDAH HOTEL MANAGER MEMBER CORP.
THC QATAR HOTEL MANAGER MEMBER CORP.
THC SHENZHEN HOTEL MANAGER MEMBER CORP.
TRUMP CHICAGO HOTEL MEMBER CORP.
"TRUMP HOTELS & CASINO RESORTS DEVELOPMENT COMPANY, LLC"
"TRUMP HOTELS & CASINO RESORTS FUNDING, INC."
"TRUMP HOTELS & CASINO RESORTS HOLDINGS, L.P."
TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC
TRUMP PANAMA HOTEL MANAGEMENT MEMBER CORP.
DT BALI HOTEL MANAGER LLC
DT LIDO HOTEL MANAGER LLC
IVANKA OPO HOTEL MANAGER LLC
TRUMP HOTEL COLLECTION
DON OPO HOTEL MANAGER LLC
ERIC OPO HOTEL MANAGER LLC
THC BAKU HOTEL MANAGER SERVICES LLC
THC BARRA HOTELARIA LTDA
THC DUBAI II HOTEL MANAGER LLC
THC JEDDAH HOTEL ADVISOR LLC
THC JEDDAH HOTEL MANAGER LLC
THC QATAR HOTEL MANAGER LLC
THC SHENZHEN HOTEL MANAGER LLC
"TRUMP HOTELS & CASINO RESORTS, INC."
THE TRUMP HOTEL CORPORATION
TRUMP INTERNATIONAL HOTEL HAWAII LLC
TRUMP CHICAGO HOTEL MANAGER LLC
TRUMP PANAMA HOTEL MANAGEMENT LLC
THC HOTEL DEVELOPMENT LLC
TRUMP INTERNATIONAL HOTEL AND TOWER CONDOMINIUM
TRUMP SOHO HOTEL CONDOMINIUM NEW YORK
TRUMP TORONTO HOTEL MANAGEMENT CORP.
KC HOTEL ENTERTAINMENT LLC
NEW YORK STANDARD HOTEL JV
